product_id,product_name,category,price,supplier_id
1,"Office Chair",Furniture,445.01,501
2,"Coffee Maker","Home & Kitchen",937.29,502
3,"Document Scanner",Electronics,940.02,503
4,"Desk Mat",Accessories,76.11,504
5,"Tablet Stand",Accessories,388.17,505
6,"Drawer Unit",Furniture,457.31,506
7,"Bath Towels","Home & Kitchen",710.31,507
8,"External SSD",Electronics,522.82,508
9,"Computer Speakers",Electronics,20.36,509
10,"Gaming Keyboard",Electronics,776.2,510
11,"Gaming Mouse Pad",Accessories,313.63,511
12,"Rice Cooker","Home & Kitchen",161.04,512
13,"Phone Grip",Accessories,134.78,513
14,"Toaster Oven","Home & Kitchen",844.45,514
15,"Laptop Stand",Accessories,44.45,515
16,"Mechanical Keyboard",Electronics,931.97,516
17,"Food Processor","Home & Kitchen",139.62,517
18,"Monitor Stand",Furniture,413.14,518
19,"Laptop Sleeve",Accessories,394.45,519
20,"Wireless Mouse",Electronics,358.27,520
21,"Power Strip",Electronics,277.62,521
22,Microphone,Electronics,648.71,522
23,Bookshelf,Furniture,491.45,523
24,"Portable Charger",Accessories,635.81,524
25,"Bluetooth Headphones",Electronics,640.9,525
26,"Noise Cancelling Headset",Electronics,345.18,526
27,"Smart Watch",Electronics,824.9,527
28,"Cable Organizer",Accessories,942.15,528
29,"Storage Containers","Home & Kitchen",916.26,529
30,"Kitchen Blender","Home & Kitchen",163.28,530
31,"Wall Clock","Home & Kitchen",980.09,531
32,"Storage Shelf",Furniture,79.41,532
33,"WiFi Router",Electronics,148.6,533
34,"Air Purifier","Home & Kitchen",638.17,534
35,"Smartphone Case",Accessories,513.39,535
36,"Standing Desk",Furniture,788.9,536
37,"Throw Pillows","Home & Kitchen",832.24,537
38,"Wireless Charger",Electronics,545.44,538
39,"Wireless Presenter",Electronics,845.76,539
40,"USB-C Hub",Electronics,786.96,540
41,"Wireless Earbuds",Electronics,510.93,541
42,"Electric Kettle","Home & Kitchen",260.72,542
43,"Desk Organizer",Accessories,379.79,543
44,"Screen Protector",Accessories,423.14,544
45,"Desk Lamp","Home & Kitchen",582.2,545
46,"4K Monitor",Electronics,715.55,546
47,"Water Bottle","Home & Kitchen",431.25,547
48,"File Cabinet",Furniture,648.43,548
49,"Webcam HD",Electronics,6.19,549
50,"Keyboard Wrist Rest",Accessories,476.46,550
51,"Office Chair",Furniture,704.55,551
52,"Coffee Maker","Home & Kitchen",159.46,552
53,"Document Scanner",Electronics,241.3,553
54,"Desk Mat",Accessories,767.2,554
55,"Tablet Stand",Accessories,674.61,555
56,"Drawer Unit",Furniture,794.85,556
57,"Bath Towels","Home & Kitchen",995.21,557
58,"External SSD",Electronics,234.44,558
59,"Computer Speakers",Electronics,974.96,559
60,"Gaming Keyboard",Electronics,716.78,560
61,"Gaming Mouse Pad",Accessories,499.53,561
62,"Rice Cooker","Home & Kitchen",621.24,562
63,"Phone Grip",Accessories,519.33,563
64,"Toaster Oven","Home & Kitchen",377.45,564
65,"Laptop Stand",Accessories,599.96,565
66,"Mechanical Keyboard",Electronics,620.87,566
67,"Food Processor","Home & Kitchen",556.97,567
68,"Monitor Stand",Furniture,245.35,568
69,"Laptop Sleeve",Accessories,207.65,569
70,"Wireless Mouse",Electronics,405.55,570
71,"Power Strip",Electronics,278.21,571
72,Microphone,Electronics,40.52,572
73,Bookshelf,Furniture,524.58,573
74,"Portable Charger",Accessories,787.42,574
75,"Bluetooth Headphones",Electronics,476.96,575
76,"Noise Cancelling Headset",Electronics,622.66,576
77,"Smart Watch",Electronics,343.71,577
78,"Cable Organizer",Accessories,651.06,578
79,"Storage Containers","Home & Kitchen",530.41,579
80,"Kitchen Blender","Home & Kitchen",934.82,580
81,"Wall Clock","Home & Kitchen",7.22,581
82,"Storage Shelf",Furniture,179.59,582
83,"WiFi Router",Electronics,42.22,583
84,"Air Purifier","Home & Kitchen",653.46,584
85,"Smartphone Case",Accessories,847.65,585
86,"Standing Desk",Furniture,716.51,586
87,"Throw Pillows","Home & Kitchen",163.6,587
88,"Wireless Charger",Electronics,666.66,588
89,"Wireless Presenter",Electronics,244.38,589
90,"USB-C Hub",Electronics,402.24,590
91,"Wireless Earbuds",Electronics,20.87,591
92,"Electric Kettle","Home & Kitchen",599.17,592
93,"Desk Organizer",Accessories,600.11,593
94,"Screen Protector",Accessories,837.35,594
95,"Desk Lamp","Home & Kitchen",890.98,595
96,"4K Monitor",Electronics,619.95,596
97,"Water Bottle","Home & Kitchen",385.26,597
98,"File Cabinet",Furniture,126.58,598
99,"Webcam HD",Electronics,768.22,599
100,"Keyboard Wrist Rest",Accessories,438.39,600
101,"Office Chair",Furniture,713.74,501
102,"Coffee Maker","Home & Kitchen",995.68,502
103,"Document Scanner",Electronics,861.71,503
104,"Desk Mat",Accessories,605.58,504
105,"Tablet Stand",Accessories,367.19,505
106,"Drawer Unit",Furniture,955.29,506
107,"Bath Towels","Home & Kitchen",71.33,507
108,"External SSD",Electronics,37.16,508
109,"Computer Speakers",Electronics,55.02,509
110,"Gaming Keyboard",Electronics,9.53,510
111,"Gaming Mouse Pad",Accessories,169.2,511
112,"Rice Cooker","Home & Kitchen",78.53,512
113,"Phone Grip",Accessories,187.26,513
114,"Toaster Oven","Home & Kitchen",720.98,514
115,"Laptop Stand",Accessories,756.85,515
116,"Mechanical Keyboard",Electronics,212.51,516
117,"Food Processor","Home & Kitchen",717.92,517
118,"Monitor Stand",Furniture,92.46,518
119,"Laptop Sleeve",Accessories,482.86,519
120,"Wireless Mouse",Electronics,549.23,520
121,"Power Strip",Electronics,432.32,521
122,Microphone,Electronics,338.97,522
123,Bookshelf,Furniture,634.27,523
124,"Portable Charger",Accessories,705.93,524
125,"Bluetooth Headphones",Electronics,785.1,525
126,"Noise Cancelling Headset",Electronics,917.21,526
127,"Smart Watch",Electronics,125.24,527
128,"Cable Organizer",Accessories,660.55,528
129,"Storage Containers","Home & Kitchen",749.8,529
130,"Kitchen Blender","Home & Kitchen",147.44,530
131,"Wall Clock","Home & Kitchen",710.47,531
132,"Storage Shelf",Furniture,515.57,532
133,"WiFi Router",Electronics,751.9,533
134,"Air Purifier","Home & Kitchen",495.6,534
135,"Smartphone Case",Accessories,680.57,535
136,"Standing Desk",Furniture,313.5,536
137,"Throw Pillows","Home & Kitchen",670.17,537
138,"Wireless Charger",Electronics,889.87,538
139,"Wireless Presenter",Electronics,325.14,539
140,"USB-C Hub",Electronics,70.68,540
141,"Wireless Earbuds",Electronics,956.18,541
142,"Electric Kettle","Home & Kitchen",838.07,542
143,"Desk Organizer",Accessories,463.25,543
144,"Screen Protector",Accessories,693.15,544
145,"Desk Lamp","Home & Kitchen",396.51,545
146,"4K Monitor",Electronics,888.7,546
147,"Water Bottle","Home & Kitchen",114.1,547
148,"File Cabinet",Furniture,777.45,548
149,"Webcam HD",Electronics,652.22,549
150,"Keyboard Wrist Rest",Accessories,217.14,550
151,"Office Chair",Furniture,400.26,551
152,"Coffee Maker","Home & Kitchen",1.25,552
153,"Document Scanner",Electronics,971.63,553
154,"Desk Mat",Accessories,713.39,554
155,"Tablet Stand",Accessories,88.11,555
156,"Drawer Unit",Furniture,292.22,556
157,"Bath Towels","Home & Kitchen",638.45,557
158,"External SSD",Electronics,757.32,558
159,"Computer Speakers",Electronics,633.82,559
160,"Gaming Keyboard",Electronics,536.91,560
161,"Gaming Mouse Pad",Accessories,476.79,561
162,"Rice Cooker","Home & Kitchen",141.76,562
163,"Phone Grip",Accessories,813.86,563
164,"Toaster Oven","Home & Kitchen",770.31,564
165,"Laptop Stand",Accessories,739.58,565
166,"Mechanical Keyboard",Electronics,741.41,566
167,"Food Processor","Home & Kitchen",535.07,567
168,"Monitor Stand",Furniture,891.25,568
169,"Laptop Sleeve",Accessories,343.65,569
170,"Wireless Mouse",Electronics,290.93,570
171,"Power Strip",Electronics,132.95,571
172,Microphone,Electronics,750.34,572
173,Bookshelf,Furniture,903.96,573
174,"Portable Charger",Accessories,101.3,574
175,"Bluetooth Headphones",Electronics,254.73,575
176,"Noise Cancelling Headset",Electronics,534.78,576
177,"Smart Watch",Electronics,881.44,577
178,"Cable Organizer",Accessories,921.76,578
179,"Storage Containers","Home & Kitchen",618.01,579
180,"Kitchen Blender","Home & Kitchen",592.8,580
181,"Wall Clock","Home & Kitchen",792.26,581
182,"Storage Shelf",Furniture,770.46,582
183,"WiFi Router",Electronics,503.88,583
184,"Air Purifier","Home & Kitchen",551.88,584
185,"Smartphone Case",Accessories,134.04,585
186,"Standing Desk",Furniture,337.1,586
187,"Throw Pillows","Home & Kitchen",112.02,587
188,"Wireless Charger",Electronics,116.99,588
189,"Wireless Presenter",Electronics,281.92,589
190,"USB-C Hub",Electronics,151.66,590
191,"Wireless Earbuds",Electronics,850.85,591
192,"Electric Kettle","Home & Kitchen",216.51,592
193,"Desk Organizer",Accessories,459.72,593
194,"Screen Protector",Accessories,575.04,594
195,"Desk Lamp","Home & Kitchen",807.09,595
196,"4K Monitor",Electronics,187.11,596
197,"Water Bottle","Home & Kitchen",80.33,597
198,"File Cabinet",Furniture,560.4,598
199,"Webcam HD",Electronics,809.75,599
200,"Keyboard Wrist Rest",Accessories,153.88,600
201,"Office Chair",Furniture,327.92,501
202,"Coffee Maker","Home & Kitchen",211.92,502
203,"Document Scanner",Electronics,877.27,503
204,"Desk Mat",Accessories,923.37,504
205,"Tablet Stand",Accessories,331.01,505
206,"Drawer Unit",Furniture,670.5,506
207,"Bath Towels","Home & Kitchen",241.36,507
208,"External SSD",Electronics,419.98,508
209,"Computer Speakers",Electronics,955.8,509
210,"Gaming Keyboard",Electronics,822.1,510
211,"Gaming Mouse Pad",Accessories,871.02,511
212,"Rice Cooker","Home & Kitchen",667.5,512
213,"Phone Grip",Accessories,128.26,513
214,"Toaster Oven","Home & Kitchen",322.1,514
215,"Laptop Stand",Accessories,393,515
216,"Mechanical Keyboard",Electronics,908.76,516
217,"Food Processor","Home & Kitchen",252.67,517
218,"Monitor Stand",Furniture,438.79,518
219,"Laptop Sleeve",Accessories,477.95,519
220,"Wireless Mouse",Electronics,26.5,520
221,"Power Strip",Electronics,657.51,521
222,Microphone,Electronics,668.94,522
223,Bookshelf,Furniture,640.44,523
224,"Portable Charger",Accessories,316.48,524
225,"Bluetooth Headphones",Electronics,137.03,525
226,"Noise Cancelling Headset",Electronics,828.05,526
227,"Smart Watch",Electronics,583.51,527
228,"Cable Organizer",Accessories,225.41,528
229,"Storage Containers","Home & Kitchen",467.45,529
230,"Kitchen Blender","Home & Kitchen",300.28,530
231,"Wall Clock","Home & Kitchen",62.02,531
232,"Storage Shelf",Furniture,875.67,532
233,"WiFi Router",Electronics,767.58,533
234,"Air Purifier","Home & Kitchen",85.84,534
235,"Smartphone Case",Accessories,782.25,535
236,"Standing Desk",Furniture,82.48,536
237,"Throw Pillows","Home & Kitchen",322.78,537
238,"Wireless Charger",Electronics,61.99,538
239,"Wireless Presenter",Electronics,770.36,539
240,"USB-C Hub",Electronics,20.82,540
241,"Wireless Earbuds",Electronics,245,541
242,"Electric Kettle","Home & Kitchen",957.07,542
243,"Desk Organizer",Accessories,634.6,543
244,"Screen Protector",Accessories,722.31,544
245,"Desk Lamp","Home & Kitchen",176.96,545
246,"4K Monitor",Electronics,80.42,546
247,"Water Bottle","Home & Kitchen",165.03,547
248,"File Cabinet",Furniture,725.39,548
249,"Webcam HD",Electronics,927.28,549
250,"Keyboard Wrist Rest",Accessories,491.82,550
251,"Office Chair",Furniture,597.35,551
252,"Coffee Maker","Home & Kitchen",269.53,552
253,"Document Scanner",Electronics,323.45,553
254,"Desk Mat",Accessories,502.9,554
255,"Tablet Stand",Accessories,594.05,555
256,"Drawer Unit",Furniture,934.33,556
257,"Bath Towels","Home & Kitchen",922.32,557
258,"External SSD",Electronics,280.14,558
259,"Computer Speakers",Electronics,346.63,559
260,"Gaming Keyboard",Electronics,242.23,560
261,"Gaming Mouse Pad",Accessories,761.69,561
262,"Rice Cooker","Home & Kitchen",949.91,562
263,"Phone Grip",Accessories,834.83,563
264,"Toaster Oven","Home & Kitchen",910.88,564
265,"Laptop Stand",Accessories,619.75,565
266,"Mechanical Keyboard",Electronics,312.07,566
267,"Food Processor","Home & Kitchen",961.5,567
268,"Monitor Stand",Furniture,845.57,568
269,"Laptop Sleeve",Accessories,542.17,569
270,"Wireless Mouse",Electronics,162.78,570
271,"Power Strip",Electronics,369.14,571
272,Microphone,Electronics,963.83,572
273,Bookshelf,Furniture,892.45,573
274,"Portable Charger",Accessories,526.69,574
275,"Bluetooth Headphones",Electronics,925.92,575
276,"Noise Cancelling Headset",Electronics,198.38,576
277,"Smart Watch",Electronics,9.85,577
278,"Cable Organizer",Accessories,956.57,578
279,"Storage Containers","Home & Kitchen",654.23,579
280,"Kitchen Blender","Home & Kitchen",800.98,580
281,"Wall Clock","Home & Kitchen",400.97,581
282,"Storage Shelf",Furniture,341.72,582
283,"WiFi Router",Electronics,476.05,583
284,"Air Purifier","Home & Kitchen",183.87,584
285,"Smartphone Case",Accessories,620.59,585
286,"Standing Desk",Furniture,450.56,586
287,"Throw Pillows","Home & Kitchen",805.66,587
288,"Wireless Charger",Electronics,672.99,588
289,"Wireless Presenter",Electronics,175.2,589
290,"USB-C Hub",Electronics,877.47,590
291,"Wireless Earbuds",Electronics,12.64,591
292,"Electric Kettle","Home & Kitchen",866.11,592
293,"Desk Organizer",Accessories,160.78,593
294,"Screen Protector",Accessories,648.22,594
295,"Desk Lamp","Home & Kitchen",191.5,595
296,"4K Monitor",Electronics,590.9,596
297,"Water Bottle","Home & Kitchen",629.95,597
298,"File Cabinet",Furniture,246.76,598
299,"Webcam HD",Electronics,589.03,599
300,"Keyboard Wrist Rest",Accessories,23.61,600
301,"Office Chair",Furniture,123.12,501
302,"Coffee Maker","Home & Kitchen",160.82,502
303,"Document Scanner",Electronics,378.57,503
304,"Desk Mat",Accessories,938,504
305,"Tablet Stand",Accessories,164.58,505
306,"Drawer Unit",Furniture,90.45,506
307,"Bath Towels","Home & Kitchen",921.56,507
308,"External SSD",Electronics,676.62,508
309,"Computer Speakers",Electronics,864.9,509
310,"Gaming Keyboard",Electronics,434.43,510
311,"Gaming Mouse Pad",Accessories,717.6,511
312,"Rice Cooker","Home & Kitchen",632.17,512
313,"Phone Grip",Accessories,855.71,513
314,"Toaster Oven","Home & Kitchen",844.3,514
315,"Laptop Stand",Accessories,204.56,515
316,"Mechanical Keyboard",Electronics,461.62,516
317,"Food Processor","Home & Kitchen",752.78,517
318,"Monitor Stand",Furniture,271.12,518
319,"Laptop Sleeve",Accessories,611.11,519
320,"Wireless Mouse",Electronics,946.27,520
321,"Power Strip",Electronics,986.87,521
322,Microphone,Electronics,427.01,522
323,Bookshelf,Furniture,684.64,523
324,"Portable Charger",Accessories,24.13,524
325,"Bluetooth Headphones",Electronics,90.6,525
326,"Noise Cancelling Headset",Electronics,797.75,526
327,"Smart Watch",Electronics,239.4,527
328,"Cable Organizer",Accessories,808.33,528
329,"Storage Containers","Home & Kitchen",974.91,529
330,"Kitchen Blender","Home & Kitchen",16.9,530
331,"Wall Clock","Home & Kitchen",395.33,531
332,"Storage Shelf",Furniture,903.09,532
333,"WiFi Router",Electronics,4.59,533
334,"Air Purifier","Home & Kitchen",489.2,534
335,"Smartphone Case",Accessories,415.23,535
336,"Standing Desk",Furniture,962.93,536
337,"Throw Pillows","Home & Kitchen",258.4,537
338,"Wireless Charger",Electronics,174.19,538
339,"Wireless Presenter",Electronics,242.33,539
340,"USB-C Hub",Electronics,178.52,540
341,"Wireless Earbuds",Electronics,267.48,541
342,"Electric Kettle","Home & Kitchen",162.87,542
343,"Desk Organizer",Accessories,361.47,543
344,"Screen Protector",Accessories,873.14,544
345,"Desk Lamp","Home & Kitchen",571.79,545
346,"4K Monitor",Electronics,49.16,546
347,"Water Bottle","Home & Kitchen",697.57,547
348,"File Cabinet",Furniture,909.15,548
349,"Webcam HD",Electronics,768.97,549
350,"Keyboard Wrist Rest",Accessories,126.55,550
351,"Office Chair",Furniture,131.99,551
352,"Coffee Maker","Home & Kitchen",610.68,552
353,"Document Scanner",Electronics,652.38,553
354,"Desk Mat",Accessories,928.81,554
355,"Tablet Stand",Accessories,989.41,555
356,"Drawer Unit",Furniture,872.48,556
357,"Bath Towels","Home & Kitchen",83.35,557
358,"External SSD",Electronics,606.53,558
359,"Computer Speakers",Electronics,796.95,559
360,"Gaming Keyboard",Electronics,589.6,560
361,"Gaming Mouse Pad",Accessories,58.43,561
362,"Rice Cooker","Home & Kitchen",817.29,562
363,"Phone Grip",Accessories,62.41,563
364,"Toaster Oven","Home & Kitchen",517.59,564
365,"Laptop Stand",Accessories,606.53,565
366,"Mechanical Keyboard",Electronics,136.29,566
367,"Food Processor","Home & Kitchen",911.2,567
368,"Monitor Stand",Furniture,334.91,568
369,"Laptop Sleeve",Accessories,887.46,569
370,"Wireless Mouse",Electronics,384.95,570
371,"Power Strip",Electronics,162.35,571
372,Microphone,Electronics,737.62,572
373,Bookshelf,Furniture,191.37,573
374,"Portable Charger",Accessories,679.83,574
375,"Bluetooth Headphones",Electronics,490.32,575
376,"Noise Cancelling Headset",Electronics,242.49,576
377,"Smart Watch",Electronics,474.2,577
378,"Cable Organizer",Accessories,964.87,578
379,"Storage Containers","Home & Kitchen",7.03,579
380,"Kitchen Blender","Home & Kitchen",932.78,580
381,"Wall Clock","Home & Kitchen",552.57,581
382,"Storage Shelf",Furniture,504.93,582
383,"WiFi Router",Electronics,122.74,583
384,"Air Purifier","Home & Kitchen",631.97,584
385,"Smartphone Case",Accessories,122.5,585
386,"Standing Desk",Furniture,211.98,586
387,"Throw Pillows","Home & Kitchen",535.97,587
388,"Wireless Charger",Electronics,713.28,588
389,"Wireless Presenter",Electronics,834.15,589
390,"USB-C Hub",Electronics,995.61,590
391,"Wireless Earbuds",Electronics,766.73,591
392,"Electric Kettle","Home & Kitchen",968.11,592
393,"Desk Organizer",Accessories,938.52,593
394,"Screen Protector",Accessories,933.36,594
395,"Desk Lamp","Home & Kitchen",274.64,595
396,"4K Monitor",Electronics,505.38,596
397,"Water Bottle","Home & Kitchen",353.42,597
398,"File Cabinet",Furniture,658.44,598
399,"Webcam HD",Electronics,313.83,599
400,"Keyboard Wrist Rest",Accessories,369.05,600
401,"Office Chair",Furniture,136.32,501
402,"Coffee Maker","Home & Kitchen",204.98,502
403,"Document Scanner",Electronics,293.65,503
404,"Desk Mat",Accessories,711.17,504
405,"Tablet Stand",Accessories,450.82,505
406,"Drawer Unit",Furniture,934.43,506
407,"Bath Towels","Home & Kitchen",863.47,507
408,"External SSD",Electronics,453.95,508
409,"Computer Speakers",Electronics,891.41,509
410,"Gaming Keyboard",Electronics,186.58,510
411,"Gaming Mouse Pad",Accessories,607.61,511
412,"Rice Cooker","Home & Kitchen",512.25,512
413,"Phone Grip",Accessories,348.25,513
414,"Toaster Oven","Home & Kitchen",954.56,514
415,"Laptop Stand",Accessories,368.41,515
416,"Mechanical Keyboard",Electronics,545.62,516
417,"Food Processor","Home & Kitchen",284.87,517
418,"Monitor Stand",Furniture,296.74,518
419,"Laptop Sleeve",Accessories,347.51,519
420,"Wireless Mouse",Electronics,560.83,520
421,"Power Strip",Electronics,90.29,521
422,Microphone,Electronics,910.45,522
423,Bookshelf,Furniture,10.76,523
424,"Portable Charger",Accessories,697.19,524
425,"Bluetooth Headphones",Electronics,960.56,525
426,"Noise Cancelling Headset",Electronics,853.93,526
427,"Smart Watch",Electronics,283.49,527
428,"Cable Organizer",Accessories,986.51,528
429,"Storage Containers","Home & Kitchen",202.78,529
430,"Kitchen Blender","Home & Kitchen",658.78,530
431,"Wall Clock","Home & Kitchen",387.14,531
432,"Storage Shelf",Furniture,18.81,532
433,"WiFi Router",Electronics,330.84,533
434,"Air Purifier","Home & Kitchen",327.19,534
435,"Smartphone Case",Accessories,596.53,535
436,"Standing Desk",Furniture,659.28,536
437,"Throw Pillows","Home & Kitchen",22.91,537
438,"Wireless Charger",Electronics,643.24,538
439,"Wireless Presenter",Electronics,186.78,539
440,"USB-C Hub",Electronics,5.73,540
441,"Wireless Earbuds",Electronics,279.18,541
442,"Electric Kettle","Home & Kitchen",126.99,542
443,"Desk Organizer",Accessories,359.57,543
444,"Screen Protector",Accessories,991.03,544
445,"Desk Lamp","Home & Kitchen",476.57,545
446,"4K Monitor",Electronics,290.25,546
447,"Water Bottle","Home & Kitchen",633.06,547
448,"File Cabinet",Furniture,862.17,548
449,"Webcam HD",Electronics,9.24,549
450,"Keyboard Wrist Rest",Accessories,723.04,550
451,"Office Chair",Furniture,179.05,551
452,"Coffee Maker","Home & Kitchen",873.67,552
453,"Document Scanner",Electronics,355.12,553
454,"Desk Mat",Accessories,341.04,554
455,"Tablet Stand",Accessories,392.06,555
456,"Drawer Unit",Furniture,970.41,556
457,"Bath Towels","Home & Kitchen",265.08,557
458,"External SSD",Electronics,178.04,558
459,"Computer Speakers",Electronics,969.89,559
460,"Gaming Keyboard",Electronics,345.87,560
461,"Gaming Mouse Pad",Accessories,727.72,561
462,"Rice Cooker","Home & Kitchen",458.77,562
463,"Phone Grip",Accessories,109.49,563
464,"Toaster Oven","Home & Kitchen",576.9,564
465,"Laptop Stand",Accessories,827.35,565
466,"Mechanical Keyboard",Electronics,206.79,566
467,"Food Processor","Home & Kitchen",202.7,567
468,"Monitor Stand",Furniture,968.69,568
469,"Laptop Sleeve",Accessories,554.74,569
470,"Wireless Mouse",Electronics,89.99,570
471,"Power Strip",Electronics,695.03,571
472,Microphone,Electronics,568.49,572
473,Bookshelf,Furniture,380.7,573
474,"Portable Charger",Accessories,923.76,574
475,"Bluetooth Headphones",Electronics,345.21,575
476,"Noise Cancelling Headset",Electronics,430.69,576
477,"Smart Watch",Electronics,998.47,577
478,"Cable Organizer",Accessories,277.35,578
479,"Storage Containers","Home & Kitchen",856.93,579
480,"Kitchen Blender","Home & Kitchen",330.42,580
481,"Wall Clock","Home & Kitchen",158.41,581
482,"Storage Shelf",Furniture,88.23,582
483,"WiFi Router",Electronics,910.23,583
484,"Air Purifier","Home & Kitchen",187.42,584
485,"Smartphone Case",Accessories,149.3,585
486,"Standing Desk",Furniture,449.74,586
487,"Throw Pillows","Home & Kitchen",540.88,587
488,"Wireless Charger",Electronics,724.27,588
489,"Wireless Presenter",Electronics,586.15,589
490,"USB-C Hub",Electronics,658.37,590
491,"Wireless Earbuds",Electronics,514.91,591
492,"Electric Kettle","Home & Kitchen",117.74,592
493,"Desk Organizer",Accessories,76.11,593
494,"Screen Protector",Accessories,695.24,594
495,"Desk Lamp","Home & Kitchen",768.87,595
496,"4K Monitor",Electronics,671.47,596
497,"Water Bottle","Home & Kitchen",859.55,597
498,"File Cabinet",Furniture,135.5,598
499,"Webcam HD",Electronics,746.48,599
500,"Keyboard Wrist Rest",Accessories,468.54,600
